NAME	# MATCHING PROBE SETS	MATCHING PROBE SET(S)	
CD300LD	1	100131439	
CD300LF	1	146722	
PLTP	1	5360	
CD300LG	1	146894	
MCL1	1	4170	
C1orf167	1	284498	
C1orf162	1	128346	
TCEANC	1	170082	
BCL9	1	607	
UBOX5	1	22888	
BCL6	1	604	
CPD	1	1362	
BCL3	1	602	
BCL2	1	596	
CPE	1	1363	
PGPEP1L	1	145814	
C1orf159	1	54991	
OSCP1	1	127700	
SLC48A1	1	55652	
CPM	1	1368	
CPO	1	130749	
MCM7	1	4176	
ZC3H4	1	23211	
MCM8	1	84515	
CPQ	1	10404	
COL14A1	1	7373	
C1orf131	1	128061	
ZC3H3	1	23144	
MCM9	1	254394	
ZC3H8	1	84524	
ZC3H6	1	376940	
CPZ	1	8532	
KBTBD13	1	390594	
KBTBD12	1	166348	
VPS72	1	6944	
CEP170B	1	283638	
EVI5L	1	115704	
OIT3	1	170392	
C1orf127	1	148345	
C1orf147	1	574431	
DPRXP4	1	503645	
C1orf146	1	388649	
CR2	1	1380	
CR1	1	1378	
GGPS1	1	9453	
SGIP1	1	84251	
DIS3	1	22894	
C1orf141	1	400757	
APOA2	1	336	
APOA1	1	335	
APOA4	1	337	
APOA5	1	116519	
OR52K3P	1	390035	
SAPCD2	1	89958	
SAPCD1	1	401251	
CRH	1	1392	
MCM3	1	4172	
XCL2	1	6846	
XCL1	1	6375	
MCM4	1	4173	
MCM5	1	4174	
MCM6	1	4175	
CRK	1	1398	
MCM2	1	4171	
CRP	1	1401	
HDAC4	1	9759	
CEBPA	1	1050	
HDAC5	1	10014	
CEBPB	1	1051	
C1orf112	1	55732	
RPL36AP33	1	100191039	
HDAC2	1	3066	
HDAC3	1	8841	
CEBPD	1	1052	
CEBPE	1	1053	
HDAC1	1	3065	
VPS4B	1	9525	
CEBPG	1	1054	
VPS4A	1	27183	
CRX	1	1406	
TULP4	1	56995	
TULP3	1	7289	
TULP2	1	7288	
TULP1	1	7287	
HDAC8	1	55869	
HDAC9	1	9734	
HDAC6	1	10013	
HDAC7	1	51564	
STOX2	1	56977	
NFS1	1	9054	
HECTD1	1	25831	
VPS51	1	738	
HECTD2	1	143279	
HECTD3	1	79654	
VPS50	1	55610	
HECTD4	1	283450	
VPS53	1	55275	
SVBP	1	374969	
VPS52	1	6293	
IL21R	1	50615	
XIRP1	1	165904	
XIRP2	1	129446	
VPS54	1	51542	
CSK	1	1445	
C1orf109	1	54955	
BCO2	1	83875	
BCO1	1	53630	
C1orf105	1	92346	
RPL36AP40	1	554234	
STOX1	1	219736	
SLC35A2	1	7355	
SLC35A1	1	10559	
MGME1	1	92667	
SLC35A4	1	113829	
C1orf122	1	127687	
SLC35A3	1	23443	
APOC4	1	346	
APOC3	1	345	
APOBR	1	55911	
CPPED1	1	55313	
KBTBD11	1	9920	
MAB21L3	1	126868	
ASXL1	1	171023	
MAB21L4	1	79919	
EVI2A	1	2123	
CTH	1	1491	
APOC2	1	344	
ASXL3	1	80816	
MAB21L1	1	4081	
MAB21L2	1	10586	
