"","x"
"1110","ASF1B"
"1111","ASGR1"
"1112","ASGR2"
"1113","ASH1L"
"1114","ASH2L"
"1115","ASIP"
"1116","ASL"
"1117","ASMT"
"1118","ASMTL"
"1119","ASMTL-AS"
"1120","ASNA1"
"1121","ASNS"
"1122","ASNSD1"
"1123","ASPA"
"1124","ASPDH"
"1125","ASPG"
"1126","ASPH"
"1127","ASPHD1"
"1128","ASPHD2"
"1129","ASPM"
"1130","ASPN"
"1131","ASPRV1"
"1132","ASPSCR1"
"1133","ASRGL1"
"1134","ASS1"
"1135","ASTE1"
"1136","ASTL"
"1137","ASTN1"
"1138","ASTN2"
"1139","ASXL1"
"1140","ASXL2"
"1141","ASXL3"
"1142","ASZ1"
"1143","ATAD1"
"1144","ATAD2"
"1145","ATAD2B"
"1146","ATAD3A"
"1147","ATAD3B"
"1148","ATAD3C"
"1149","ATAD5"
"1150","ATAT1"
"1151","ATCAY"
"1152","ATE1"
"1153","ATF1"
"1154","ATF2"
"1155","ATF3"
"1156","ATF4"
"1157","ATF5"
"1158","ATF6"
"1159","ATF6B"
"1160","ATF7"
"1161","ATF7IP"
"1162","ATF7IP2"
"1163","ATG10"
"1164","ATG12"
"1165","ATG13"
"1166","ATG14"
"1167","ATG16L1"
"1168","ATG16L2"
"1169","ATG2A"
"1170","ATG2B"
"1171","ATG3"
"1172","ATG4A"
"1173","ATG4B"
"1174","ATG4C"
"1175","ATG4D"
"1176","ATG5"
"1177","ATG7"
"1178","ATG9A"
"1179","ATG9B"
"1180","ATHL1"
"1181","ATIC"
"1182","ATL1"
"1183","ATL2"
"1184","ATL3"
"1185","ATM"
"1186","ATMIN"
"1187","ATN1"
"1188","ATOH1"
"1189","ATOH7"
"1190","ATOH8"
"1191","ATOX1"
"1192","ATP10A"
"1193","ATP10B"
"1194","ATP10D"
"1195","ATP11A"
"1196","ATP11B"
"1197","ATP11C"
"1198","ATP12A"
"1199","ATP13A1"
"1200","ATP13A2"
"1201","ATP13A3"
"1202","ATP13A4"
"1203","ATP13A5"
"1204","ATP1A1"
"1205","ATP1A1OS"
"1206","ATP1A2"
"1207","ATP1A3"
"1208","ATP1A4"
"1209","ATP1B1"
"1210","ATP1B2"
"1211","ATP1B3"
"1212","ATP1B4"
"1213","ATP2A1"
"1214","ATP2A2"
"1215","ATP2A3"
"1216","ATP2B1"
"1217","ATP2B2"
"1218","ATP2B3"
"1219","ATP2B4"
"1220","ATP2C1"
"1221","ATP2C2"
"1222","ATP4A"
"1223","ATP4B"
"1224","ATP5A1"
"1225","ATP5B"
"1226","ATP5C1"
"1227","ATP5D"
"1228","ATP5E"
"1229","ATP5EP2"
"1230","ATP5F1"
"1231","ATP5G1"
"1232","ATP5G2"
"1233","ATP5G3"
"1234","ATP5H"
"1235","ATP5I"
"1236","ATP5J"
"1237","ATP5J2"
"1238","ATP5L"
"1239","ATP5L2"
"1240","ATP5O"
"1241","ATP5S"
"1242","ATP5SL"
"1243","ATP6"
"1244","ATP6AP1"
"1245","ATP6AP1L"
"1246","ATP6AP2"
"1247","ATP6V0A2"
"1248","ATP6V0A4"
"1249","ATP6V0B"
"1250","ATP6V0C"
"1251","ATP6V0D1"
"1252","ATP6V0D2"
"1253","ATP6V0E1"
"1254","ATP6V0E2"
"1255","ATP6V1A"
"1256","ATP6V1B1"
"1257","ATP6V1B2"
"1258","ATP6V1C1"
"1259","ATP6V1C2"
"1260","ATP6V1D"
"1261","ATP6V1E1"
"1262","ATP6V1E2"
"1263","ATP6V1F"
"1264","ATP6V1G1"
"1265","ATP6V1G2"
"1266","ATP6V1G3"
"1267","ATP6V1H"
"1268","ATP7A"
"1269","ATP7B"
"1270","ATP8"
"1271","ATP8A1"
"1272","ATP8A2"
"1273","ATP8B1"
"1274","ATP8B2"
"1275","ATP8B3"
"1276","ATP8B4"
"1277","ATP8B5P"
"1278","ATP9A"
"1279","ATP9B"
"1280","ATPAF2"
"1281","ATPBD4"
"1282","ATPIF1"
"1283","ATR"
"1284","ATRIP"
"1285","ATRN"
"1286","ATRNL1"
"1287","ATRX"
"1288","ATXN1"
"1289","ATXN10"
"1290","ATXN1L"
"1291","ATXN2"
"1292","ATXN2L"
"1293","ATXN3"
"1294","ATXN3L"
"1295","ATXN7"
"1296","ATXN7L1"
"1297","ATXN7L2"
"1298","ATXN7L3"
"1299","ATXN7L3B"
"1300","ATXN8OS"
"1301","AUH"
"1302","AUP1"
"1303","AURKA"
"1304","AURKAIP1"
"1305","AURKAPS1"
"1306","AURKB"
"1307","AURKC"
"1308","AUTS2"
"1309","AVEN"
"1310","AVIL"
"1311","AVL9"
"1312","AVP"
"1313","AVPI1"
"1314","AVPR1A"
"1315","AVPR2"
"1316","AWAT1"
"1317","AWAT2"
"1318","AXIN1"
"1319","AXIN2"
"1320","AXL"
"1321","AZFP"
"1322","AZGP1"
"1323","AZGP1P1"
"1324","AZI1"
"1325","AZI2"
"1326","AZIN1"
"1327","AZU1"
"1328","B2M"
"1329","B3GALNT1"
