NAME	GS<br> follow link to MSigDB	GS DETAILS	SIZE	ES	NES	NOM p-val	FDR q-val	FWER p-val	RANK AT MAX	LEADING EDGE	
MODULE_337	MODULE_337		64	-0.3860585	-1.039218	0.45967743	0.95176774	0.994	3799	tags=41%, list=19%, signal=50%	
MODULE_171	MODULE_171		131	-0.50846225	-1.0377992	0.46060607	0.9440495	0.994	3127	tags=37%, list=15%, signal=44%	
MODULE_431	MODULE_431		15	-0.47202775	-1.0357549	0.44488978	0.93800056	0.994	7672	tags=60%, list=38%, signal=96%	
MODULE_436	MODULE_436		130	-0.49703124	-1.0322437	0.45867768	0.93599445	0.994	3819	tags=47%, list=19%, signal=57%	
MODULE_241	MODULE_241		72	-0.41773263	-1.0301987	0.4509018	0.9306403	0.994	3882	tags=36%, list=19%, signal=44%	
MODULE_345	MODULE_345		119	-0.50352603	-1.0269678	0.47379032	0.9282027	0.994	3136	tags=39%, list=15%, signal=46%	
MODULE_521	MODULE_521		36	-0.42592075	-1.0247284	0.44064388	0.9232781	0.994	5512	tags=56%, list=27%, signal=76%	
MODULE_313	MODULE_313		18	-0.44527933	-1.0177435	0.45073375	0.9304979	0.994	3922	tags=39%, list=19%, signal=48%	
MODULE_537	MODULE_537		17	-0.51776797	-1.0173618	0.4909091	0.921162	0.994	3686	tags=47%, list=18%, signal=57%	
MODULE_174	MODULE_174		94	-0.39118084	-1.0165186	0.448	0.91295314	0.994	3882	tags=35%, list=19%, signal=43%	
MODULE_90	MODULE_90		17	-0.5330205	-1.0160633	0.48665297	0.9043693	0.994	2455	tags=59%, list=12%, signal=67%	
MODULE_128	MODULE_128		96	-0.51402867	-1.0131246	0.51926976	0.90191793	0.994	4244	tags=47%, list=21%, signal=59%	
MODULE_287	MODULE_287		50	-0.37119788	-1.0075581	0.45679012	0.9058478	0.995	2785	tags=28%, list=14%, signal=32%	
MODULE_18	MODULE_18		449	-0.30313373	-1.0025051	0.47609147	0.90864563	0.995	3881	tags=33%, list=19%, signal=39%	
MODULE_203	MODULE_203		16	-0.5266876	-0.9956102	0.5274949	0.9161747	0.996	4350	tags=75%, list=21%, signal=95%	
MODULE_170	MODULE_170		99	-0.5082688	-0.9937652	0.5345529	0.9112152	0.996	4244	tags=46%, list=21%, signal=58%	
MODULE_385	MODULE_385		27	-0.44952467	-0.9903721	0.5	0.91032064	0.996	1974	tags=19%, list=10%, signal=20%	
