"","Row.names","ADCY1","ADCY8","CAMK2A","CAMK2B","CAMK2G","CAMK4","CREB1","MAPK1","NBEA","PDE1A","PDE1C","PLA2G4A","PRKACB","PRKAR2B","PRKCD","EFS_fct"
"136","PALVKK",8.03855,5.830136,6.832736,7.545651,8.60114,8.023262,8.349909,9.18009,8.52715,6.189913,5.982266,6.421039,7.799974,8.146126,8.176244,"EFS_L5"
"137","PALVUC",10.215832,5.252424,7.912962,8.487294,9.038798,8.193057,8.640101,8.913201,9.152756,4.903058,5.157114,3.926789,8.198082,8.731507,7.871109,"EFS_G5"
"138","PALVVH",9.928135,6.564038,6.437135,8.227978,8.936895,8.321281,9.022759,9.283824,9.990244,5.155921,5.210026,4.208589,8.585751,9.195346,7.683942,"EFS_G5"
"139","PALWBT",8.185192,7.08627,8.432876,7.728198,8.62553,7.685883,7.934313,8.998275,8.949303,5.657375,6.875182,4.336189,8.055426,8.44836,8.248914,"EFS_G5"
"140","PALWSJ",9.970017,5.06904,7.525101,9.311803,9.3029,9.555657,9.396461,9.71211,9.208988,4.81324,4.879137,4.452634,8.781475,9.071187,7.955046,"EFS_G5"
"141","PALWVJ",8.693976,8.994881,6.74509,7.977665,8.949202,7.158423,8.352922,8.459952,8.880691,5.125854,4.579977,4.030743,7.56065,8.612125,7.064915,"EFS_L5"
"142","PALWXP",9.728547,4.92286,8.500784,8.617867,9.542099,9.425164,9.3186,9.449273,9.26909,4.810656,6.276373,4.536898,8.707842,8.708828,7.723642,"EFS_G5"
"143","PALXTB",8.984924,6.485172,8.181104,8.332637,9.002055,8.848519,8.958509,9.146581,9.844764,5.168314,5.633693,4.236286,8.780912,8.575515,7.454968,"EFS_G5"
"144","PALXTE",9.384272,4.746645,6.264527,8.16471,8.978574,9.201994,9.285805,9.154371,9.769264,4.788733,6.08665,4.179503,8.273162,8.668981,7.337568,"EFS_G5"
"145","PALXUM",9.789434,5.214728,7.349163,8.712799,9.598575,9.622373,8.868483,9.152309,10.017147,5.1202,4.579011,4.452825,8.762004,9.228582,7.78784,"EFS_L5"
"146","PALYEC",8.214446,4.730308,6.350871,7.553639,8.639573,9.005358,8.505346,8.422072,8.646028,4.561858,5.011696,3.955652,7.482915,7.72303,6.753319,"EFS_L5"
"147","PALYLZ",9.227743,6.727607,7.117831,8.260061,9.105964,8.537416,8.733853,9.043285,9.862427,4.821865,5.02527,4.904786,8.054298,8.983338,6.946134,"EFS_G5"
"148","PALYPW",7.250772,6.340187,8.16413,7.393515,8.446467,6.271634,8.416307,9.014393,8.139519,5.60814,6.279632,5.201608,7.248898,8.298106,8.000792,"EFS_L5"
"149","PALZRG",8.178296,4.80499,6.153335,7.113433,8.369174,8.105143,8.741869,8.837464,9.283805,4.967055,5.030486,3.974344,6.773067,7.768533,6.901366,"EFS_L5"
"150","PALZZV",7.38421,6.11851,6.212207,7.199239,7.920734,5.661513,8.668565,8.702118,9.186009,4.417234,4.776926,4.022743,7.449175,8.415145,6.512859,"EFS_L5"
"151","PAMACS",9.100366,4.882453,6.389761,8.023954,9.467604,8.486254,8.458966,8.664108,9.243431,5.252847,5.408078,4.152903,8.088445,7.971403,7.254056,"EFS_L5"
"152","PAMAFV",9.414893,4.998821,6.689806,8.029642,9.095472,9.232488,8.761634,9.020902,9.106129,4.555753,4.940321,4.172266,7.987487,8.620306,7.070194,"EFS_G5"
