"","Row.names","CDC42","CRK","EFNB2","EFNB3","EPHB3","GRB7","GRIA1","ITSN1","KALRN","KRAS","MAP2K1","MAP4K4","MAPK1","NRAS","PAK1","PIK3R1","PTK2","RAP1A","RAP1B","RASA1","SHC1","SYNJ1","WASL","EFS_fct"
"124","PALKKV",9.41497,8.897726,9.360596,8.220582,6.550367,7.31152,8.558079,8.523205,8.542394,8.430375,7.941298,9.161949,9.313855,9.419046,9.33427,9.199634,9.290354,7.08043,8.038492,8.235312,8.636729,8.697356,8.455164,"EFS_G5"
"125","PALKUC",9.074547,8.4541,6.854273,6.69748,7.425711,6.62365,6.774046,7.572811,6.849962,7.727273,8.012994,8.30299,8.18834,8.60112,7.062883,7.618729,8.43273,6.495664,7.64666,7.274017,8.871716,6.649209,8.199682,"EFS_G5"
"126","PALLJJ",9.584635,9.057258,8.026097,7.973567,6.645678,6.43901,7.629215,7.621504,8.139872,8.027176,9.582002,8.974251,9.451991,9.407029,8.900421,8.176102,8.037249,7.518308,7.825689,8.070535,9.606273,8.290652,9.100043,"EFS_G5"
"127","PALNFE",8.519101,8.819173,8.311897,8.01424,6.997861,6.66615,8.541025,7.763871,8.142648,8.194309,7.698492,8.931318,8.867446,9.032812,8.287919,9.270299,8.85362,6.418236,7.580723,8.493577,8.96558,8.215716,8.423764,"EFS_G5"
"128","PALNHZ",9.045077,8.440152,8.548069,6.70386,6.687639,6.88083,6.518694,8.193625,6.762121,7.668559,7.816546,9.787571,8.863132,9.354608,8.498787,7.260221,9.284446,6.720299,7.369828,7.683476,7.868703,7.790268,8.741267,"EFS_L5"
"129","PALNVP",9.528452,9.657435,8.813252,9.109676,6.530526,5.96812,7.949175,8.292549,8.000895,8.553356,8.935013,9.183074,9.360111,9.596474,8.69039,10.042348,8.55142,7.457413,8.177661,8.588337,9.103757,8.720151,8.606777,"EFS_G5"
"130","PALPIN",8.945505,8.684337,9.094184,7.611815,8.102372,6.97094,8.048898,7.887695,8.839566,7.708056,7.985493,9.570389,8.437398,9.165596,8.642882,9.682768,9.242615,6.540108,7.51432,8.328561,9.028118,8.025947,7.860581,"EFS_G5"
"131","PALPSY",8.961386,9.020726,8.176057,7.343082,7.515142,6.03378,7.598477,7.498407,8.149506,8.202464,8.20172,9.387957,9.243101,9.338363,8.287544,9.64678,8.862752,7.146136,7.692904,8.165274,9.262199,8.07225,8.445518,"EFS_G5"
"132","PALSAE",8.593557,8.520642,7.543908,6.877999,7.103807,6.42161,7.14314,7.835377,8.050938,7.485924,7.981209,8.840216,8.64078,9.389093,7.816406,9.403342,8.083574,6.566955,7.321567,7.857875,8.852655,7.3967,8.540629,"EFS_L5"
"133","PALTYB",9.94867,9.36765,8.314656,7.615712,6.63251,6.37314,8.152922,8.362187,7.643963,8.471334,9.50307,8.564577,9.828545,9.938588,9.46579,9.143133,8.666026,8.215281,8.301668,8.579863,8.078073,9.437462,9.008288,"EFS_L5"
"134","PALUDH",9.176935,8.823854,8.528943,8.045583,8.113678,6.67231,7.598527,7.804038,7.998678,8.286428,7.969617,8.809962,9.012628,9.853426,8.223607,9.281257,8.645656,6.850926,7.686613,7.985365,9.237019,7.906479,8.862083,"EFS_G5"
"135","PALUYS",8.978933,8.702362,8.623297,7.235521,7.314336,6.98971,7.258589,7.710269,7.596853,7.822234,7.911326,9.11875,8.377554,9.797295,7.197254,8.619118,8.638743,6.929046,7.670969,8.133184,8.514752,7.816257,8.501585,"EFS_L5"
"136","PALVKK",9.578372,8.659327,7.435262,7.344802,7.233658,6.25888,7.762583,7.915732,7.33695,7.730312,8.436541,8.577892,9.18009,9.549483,8.500439,9.191638,8.948358,7.527623,8.301902,8.028802,9.063774,8.106717,8.550995,"EFS_L5"
"137","PALVUC",8.927325,8.762945,8.139476,7.980259,6.790093,7.59084,8.019857,7.291834,7.97694,7.84124,7.622514,9.070702,8.913201,9.391481,7.916083,8.675864,8.979036,6.778953,7.185171,7.583255,9.20366,7.748607,8.416895,"EFS_G5"
"138","PALVVH",9.471604,8.574011,8.705399,7.877529,6.920193,7.29493,8.615873,8.081753,8.528213,8.429236,7.915,9.201533,9.283824,9.687061,8.598614,9.340315,8.978782,7.240689,8.058428,8.313058,8.750524,8.523759,8.376532,"EFS_G5"
"139","PALWBT",9.155998,8.810977,7.646956,7.088518,6.414435,6.66326,6.524682,7.370742,7.916384,7.890776,8.652803,8.373544,8.998275,9.349735,8.310911,7.928836,8.299028,7.133408,7.754263,7.617627,9.318842,8.074626,8.278102,"EFS_G5"
"140","PALWSJ",9.777182,9.503891,9.040854,7.954607,7.696772,6.41401,9.092345,7.930078,8.003785,8.380307,8.956965,9.840192,9.71211,10.127725,9.199309,9.00441,8.471039,7.403918,8.471554,8.497255,10.062614,8.298353,8.971287,"EFS_G5"
"141","PALWVJ",9.305807,8.802055,7.582514,7.304352,6.802945,6.59018,8.3638,7.857318,7.840992,8.187521,8.049245,9.075697,8.459952,9.902304,7.39669,8.608487,8.981808,6.934858,7.856822,7.765257,8.868724,8.21319,8.266298,"EFS_L5"
"142","PALWXP",9.482078,9.085743,8.599037,7.757025,6.885129,6.14656,8.889284,7.783014,8.270385,8.955746,8.429777,9.521463,9.449273,9.842883,9.078079,9.667938,9.15745,7.525657,8.552259,8.987354,9.684264,8.287718,8.518263,"EFS_G5"
"143","PALXTB",9.723524,8.366669,8.176316,8.250204,7.021658,6.29414,9.144509,8.332893,8.703332,8.897712,8.097472,9.048902,9.146581,9.796935,8.688132,9.407163,9.194074,7.638131,8.186722,8.450799,9.12515,8.623795,8.236051,"EFS_G5"
"144","PALXTE",9.325954,9.208078,8.092854,7.642717,7.741217,7.10805,8.700681,7.717689,8.245473,8.319257,7.724223,9.504765,9.154371,9.398804,8.365179,9.732764,8.808472,7.005461,7.905159,8.451126,9.301627,8.129662,8.408337,"EFS_G5"
"145","PALXUM",9.720987,8.725675,8.394353,7.972486,7.343738,7.00726,8.401244,7.887441,8.045409,8.536138,8.291045,9.328914,9.152309,9.708977,8.408726,9.605834,9.023745,7.034119,7.739153,8.473196,9.344113,8.496526,8.596683,"EFS_L5"
"146","PALYEC",9.114335,8.126311,6.691454,6.859941,6.494582,6.79074,7.498245,7.709603,7.693991,7.59115,7.46259,9.078069,8.422072,9.401503,7.929219,8.72845,8.996636,6.729593,7.54982,7.796124,9.130453,7.401334,8.167267,"EFS_L5"
"147","PALYLZ",8.953089,8.804757,8.668568,7.537026,7.723873,6.61812,8.315221,7.792325,8.000067,7.890485,7.818227,9.250941,9.043285,9.392383,8.17547,9.542822,9.03622,6.690597,7.735324,8.546713,9.160252,7.963615,8.05703,"EFS_G5"
"148","PALYPW",9.474168,8.722978,7.415389,6.956612,6.789118,6.60646,6.164572,7.850668,6.433699,7.82703,8.09752,8.494513,9.014393,8.979095,7.661102,9.535048,8.82753,7.788166,8.216206,8.185779,8.321892,8.189486,8.249879,"EFS_L5"
"149","PALZRG",8.922586,8.69027,8.091507,7.488981,6.396111,6.71512,4.982899,7.347531,7.614726,7.884995,7.859041,9.143616,8.837464,9.355128,7.939913,8.484206,8.579122,6.718027,7.708072,8.27694,8.426845,7.134031,8.309718,"EFS_L5"
"150","PALZZV",8.433478,8.819016,7.932407,7.157568,6.676298,6.58036,8.527682,7.553422,7.62991,7.545597,7.764908,9.167618,8.702118,9.086696,8.296872,7.413948,8.543492,6.632901,7.321344,8.189295,7.820561,7.615217,8.331036,"EFS_L5"
