"","Row.names","ADCYAP1","ASAH1","BRAF","CREB1","CREB5","FRS2","MAP2K4","MAPK1","MAPK10","MAPK8","MAPK9","NTRK1","PIK3CD","PIK3R1","SHC1","TH","TUBA1A","EFS_fct"
"66","PADWVR",6.113305,8.435628,8.570254,9.010979,6.497739,6.674123,7.827053,8.541207,7.766006,8.028759,8.552019,9.051458,6.505917,9.046068,9.067822,9.202416,11.975669,"EFS_G5"
"67","PADXAS",5.291701,8.736072,8.725239,8.68245,6.826054,6.68291,8.00373,8.742729,7.338195,8.155295,8.2528,8.223979,7.130405,8.714195,8.099915,9.840032,12.002776,"EFS_G5"
"68","PADXBB",7.186404,8.110165,7.843554,7.576125,6.264418,5.795861,6.895981,8.045975,6.21813,6.769735,7.292165,7.962117,6.791998,7.76581,8.648001,9.800732,11.072095,"EFS_L5"
"69","PAIDJS",6.880601,8.550891,8.459611,8.57454,8.302969,6.927815,8.308313,9.054107,6.942965,7.842095,8.196993,8.410867,7.399332,9.935598,8.801699,8.594671,11.718536,"EFS_G5"
"70","PAIEIF",8.015993,9.204515,8.833344,8.581722,7.33402,7.024519,8.025152,9.165394,7.742299,8.097584,8.698492,9.172114,6.821841,9.920556,8.694699,9.316582,11.811878,"EFS_L5"
"71","PAILZJ",4.870213,8.94554,8.511787,7.748104,6.967333,6.998379,8.217323,9.168074,6.400706,8.376105,8.166986,8.282661,6.902754,9.480736,8.551042,9.72331,11.92253,"EFS_L5"
"72","PAIMDS",8.866535,9.206177,9.375297,9.189346,6.698872,7.237026,8.456415,9.461179,7.369446,8.015604,8.641347,8.543641,6.581308,9.458092,8.733986,9.539376,11.723077,"EFS_L5"
"73","PAIPGU",4.567201,8.296383,8.800017,8.659847,5.267211,7.351076,7.987204,8.916868,7.00344,8.010722,8.50139,7.840289,7.470756,8.317201,9.077029,10.090856,11.92439,"EFS_L5"
"74","PAIPUD",7.376094,8.757598,8.88279,9.016011,7.526719,7.181126,8.212534,8.88762,7.200318,8.496272,8.695035,9.195974,7.016748,9.45007,8.412349,9.135041,11.798459,"EFS_G5"
"75","PAIRDP",4.693764,8.410575,8.539149,9.043715,8.292833,6.794699,7.059741,8.595618,6.758785,8.419249,7.564148,6.988849,6.409407,8.39992,8.540236,7.920615,11.295538,"EFS_L5"
"76","PAIRIK",7.250999,8.289886,8.409721,8.554062,6.69783,6.772807,7.878883,8.570958,7.03735,8.414305,8.062083,9.396448,7.190616,8.968163,8.623469,9.563987,11.852927,"EFS_G5"
"77","PAIRLN",4.593237,8.768726,8.65178,8.488215,6.655949,6.719225,7.630399,8.592459,6.572204,8.281915,7.718034,7.612294,6.891028,8.455116,8.42592,9.305972,11.812103,"EFS_G5"
"78","PAISNS",5.709707,8.211788,8.787358,8.78831,7.014139,7.062569,7.883635,9.157727,6.251777,8.279823,7.84132,8.033828,6.641927,8.820988,8.932082,9.245692,11.612841,"EFS_L5"
"79","PAITCI",8.425069,8.85584,8.44962,8.5218,7.574959,6.583872,7.822068,8.687386,7.108736,7.474846,7.437586,6.92825,6.920194,9.090919,9.154555,7.513389,11.945616,"EFS_L5"
