"","Row.names","CDC42","CDK5R1","CDK5R2","CLIP1","DAB1","DCX","DYNC1H1","DYNLT1","KATNA1","LRP8","MAP1B","NDEL1","PAFAH1B1","PLA2G7","YWHAE","EFS_fct"
"155","PAMBMJ",9.460052,8.455265,7.940084,7.091694,5.455727,9.584414,9.509411,8.822383,6.930441,7.896517,9.739364,7.72745,9.869889,6.760138,10.109857,"EFS_L5"
"156","PAMBYG",8.319061,7.612782,7.65127,6.705881,5.392021,9.955303,9.325896,8.486566,6.545975,7.140939,9.386848,7.009752,9.442581,5.987353,9.233418,"EFS_L5"
"157","PAMCXF",9.345862,8.815005,8.182785,6.660395,5.758507,9.535225,9.399455,7.608519,6.27757,7.118838,10.24075,7.454381,9.714806,5.079549,9.85411,"EFS_L5"
"158","PAMEHH",9.652596,8.892704,8.140405,7.282157,7.348334,8.098482,10.253665,7.765896,6.320194,8.501182,10.819527,8.12384,10.515945,6.859852,9.410702,"EFS_L5"
"159","PAMEZH",9.065357,8.070073,8.264237,6.893774,7.316196,9.306304,9.516902,8.078068,6.397414,7.310636,10.273793,7.608652,10.051049,6.557049,9.541271,"EFS_L5"
"160","PAMJED",8.831919,8.866851,7.766896,6.386545,6.065125,9.54859,9.415754,8.142841,6.291854,7.428847,8.896,7.232382,9.554089,5.253339,9.388024,"EFS_L5"
"161","PAMLMY",8.414558,8.630399,8.47582,6.890013,6.079742,9.162637,9.870513,8.489618,7.285999,7.808356,9.270035,7.300669,9.820881,6.837256,9.707171,"EFS_G5"
"162","PAMLNB",9.685974,6.712331,7.281885,7.498073,5.576643,5.66513,9.314486,8.513364,6.634525,6.385986,8.79236,8.747202,9.50119,8.262881,9.693347,"EFS_G5"
"163","PAMMXF",8.725147,8.429511,7.766796,7.259743,5.325916,9.970925,9.832612,8.775214,6.766989,7.853222,9.617475,7.581787,9.678759,5.551203,9.969003,"EFS_L5"
"164","PAMMYR",9.421607,7.573518,7.78765,6.711838,5.528738,8.431211,9.39132,8.117576,6.790268,7.162742,9.042608,8.024538,9.151344,7.867819,9.08426,"EFS_L5"
"165","PAMNAL",9.435738,8.347167,8.182218,7.31128,6.674159,9.249416,9.758022,8.252981,6.704783,7.435493,9.665582,7.831303,10.16684,7.293124,10.170924,"EFS_G5"
"166","PAMNLH",8.969719,7.631827,8.42455,6.516508,5.802855,9.204687,9.575728,7.650598,5.873156,7.089417,9.49737,7.14669,8.938552,6.975206,9.13114,"EFS_L5"
"167","PAMVCL",9.10706,8.385059,7.94263,7.548635,6.487702,8.329267,9.740546,8.45719,6.384964,8.192983,9.954966,7.583225,10.288849,6.008763,9.850045,"EFS_G5"
"168","PAMXWF",9.37495,8.586773,8.321209,7.125568,5.700277,10.210647,9.976772,8.363774,6.682963,8.08397,10.10591,7.650258,9.792801,6.181661,9.828619,"EFS_L5"
"169","PAMYCE",8.78415,7.842653,8.087817,6.848346,5.912816,8.301755,9.079834,8.068084,6.069757,7.728522,8.981544,7.107521,9.687128,7.002038,8.870071,"EFS_L5"
"170","PAMYVA",8.64138,8.312678,7.717029,6.370614,6.757607,9.370831,9.41203,7.893748,6.458046,7.493873,9.168579,7.157414,9.89677,5.53566,9.053014,"EFS_G5"
"171","PAMZCE",7.663235,7.955975,7.826554,6.254752,5.728596,9.232994,8.91167,8.095571,6.061754,7.414432,9.338563,6.553922,9.565239,4.752224,9.087795,"EFS_G5"
"172","PAMZMG",8.19666,9.174231,8.08454,6.694105,5.780459,8.13641,9.437682,8.221414,6.254789,8.411318,9.443576,6.729639,9.416235,5.726044,9.722336,"EFS_L5"
"173","PAMZYM",9.384072,7.773955,7.869735,7.511698,5.122741,9.569086,9.516254,8.577276,6.54597,7.459711,9.764322,7.571269,9.920806,7.591972,9.452723,"EFS_G5"
"174","PANBJH",8.957353,8.107439,8.262782,6.694562,5.758069,9.891152,9.644753,8.176889,6.557877,7.637959,10.030127,7.07158,9.721701,5.325718,9.438926,"EFS_L5"
"175","PANBMJ",9.217995,7.679434,8.111672,6.8038,6.442655,7.694953,9.866099,8.23245,6.112219,7.375626,10.095534,7.253957,9.807929,7.050341,8.740112,"EFS_L5"
"176","PANBSP",8.929303,7.582152,7.582119,6.475604,5.00871,9.336332,9.290888,8.654606,7.400556,8.19823,9.659842,7.382513,9.726323,6.548221,10.0917,"EFS_L5"
"177","PANCYF",8.917044,7.955159,7.616306,6.861713,5.527428,9.03927,9.399669,8.558578,6.560755,7.348594,9.617237,7.411328,9.686912,7.388012,9.340489,"EFS_L5"
"178","PANDHZ",9.205298,7.350512,7.709481,6.643004,5.704221,8.356208,8.82909,8.066693,6.276474,7.13851,8.693955,7.620601,8.821185,6.635975,9.468681,"EFS_L5"
"179","PANGTS",9.207297,7.72091,8.075356,6.790985,5.452024,9.775478,9.695675,8.22748,6.759822,7.615693,9.72262,7.435847,10.033311,7.045291,9.332616,"EFS_G5"
"180","PANHUA",8.918001,7.585482,7.903945,6.581354,6.096003,8.726767,9.304292,8.076363,6.262067,7.306329,8.841144,7.288003,9.536299,6.739865,9.028609,"EFS_L5"
"181","PANLSG",8.60744,8.09587,7.908522,6.751714,5.592304,8.339254,9.303092,8.292429,6.645014,7.677982,9.303223,7.232692,9.565104,6.944178,9.32017,"EFS_L5"
"182","PANNIJ",8.767119,7.339042,8.133792,6.030274,5.389856,8.889652,9.058303,7.926559,6.437897,7.429185,9.507606,7.206634,9.148424,6.918972,9.107889,"EFS_L5"
"183","PANRRW",9.281871,8.156363,8.160459,7.294364,6.294781,9.615683,9.503641,8.465713,6.628607,8.154296,9.99667,7.517007,10.394355,7.155764,9.312704,"EFS_L5"
"184","PANUKV",8.675546,8.303322,7.673089,6.972021,5.159429,10.215505,8.648913,8.826029,7.017431,8.095612,9.674993,7.510965,9.968396,7.271943,10.201056,"EFS_L5"
"185","PANUVK",9.620956,8.184793,8.11561,7.741275,5.704951,9.289686,9.528906,8.830692,7.076069,7.824907,10.111307,8.064036,9.786351,7.28017,9.936774,"EFS_G5"
