"","Row.names","CDC42","CREB1","GNAI1","GNAO1","GNAZ","GNB1","GNG2","MAP2K1","MAPK1","PELP1","PIK3R1","PLCB1","PTK2","EFS_fct"
"115","PALBFW",9.499262,8.71462,8.584073,9.546838,8.218691,10.973489,8.747289,8.182901,9.224384,7.577261,9.867669,7.323507,9.312265,"EFS_L5"
"116","PALEAC",9.275603,9.062866,8.432617,9.293096,8.21255,11.076594,8.997812,7.821689,9.087593,7.815918,9.381155,7.748679,8.843324,"EFS_G5"
"117","PALEBK",9.489796,8.835959,8.319579,9.57906,8.497203,11.106974,8.754164,8.048391,9.441745,7.686557,9.852614,6.914095,9.118814,"EFS_G5"
"118","PALETP",9.398117,9.369931,7.829268,9.258005,8.495939,11.361016,8.975482,7.727339,8.724346,7.548696,7.452319,6.48733,8.603929,"EFS_L5"
"119","PALFRE",9.030723,8.588095,7.189491,8.924386,8.51219,10.557716,8.526334,8.248776,9.079194,7.713835,9.282235,6.929104,7.931435,"EFS_L5"
"120","PALFSE",9.812137,8.897481,8.777478,9.434688,8.547924,11.083517,9.080068,8.891413,9.55443,7.774274,10.306227,8.171186,8.8027,"EFS_G5"
"121","PALGFF",9.161864,8.656102,8.303181,9.564963,8.481596,10.775953,9.238497,7.944022,9.167553,7.669175,9.53998,8.166396,8.547246,"EFS_L5"
"122","PALHVD",8.692498,8.533268,7.601558,8.943965,8.419918,10.812721,8.553342,7.522259,8.360432,8.074746,8.600046,6.456773,8.668972,"EFS_L5"
"123","PALIIN",9.277158,9.214235,8.193309,8.496868,7.921199,10.622484,8.609301,7.853828,8.688139,8.047282,8.568444,6.463353,8.773177,"EFS_L5"
"124","PALKKV",9.41497,8.65081,8.59347,9.463308,8.786455,10.943649,9.311564,7.941298,9.313855,7.920211,9.199634,8.081663,9.290354,"EFS_G5"
"125","PALKUC",9.074547,7.463328,6.551771,7.605361,7.64069,10.090402,7.317848,8.012994,8.18834,7.454083,7.618729,6.25537,8.43273,"EFS_G5"
"126","PALLJJ",9.584635,8.429557,8.27916,9.62926,9.37808,11.294449,8.431886,9.582002,9.451991,8.357289,8.176102,7.988972,8.037249,"EFS_G5"
"127","PALNFE",8.519101,8.485446,8.211674,9.555241,8.29029,10.562412,8.946825,7.698492,8.867446,8.186177,9.270299,8.187399,8.85362,"EFS_G5"
"128","PALNHZ",9.045077,8.516562,7.876871,9.09072,8.715359,10.787647,7.356843,7.816546,8.863132,7.670548,7.260221,8.101445,9.284446,"EFS_L5"
"129","PALNVP",9.528452,8.732515,8.031322,10.08445,9.03147,11.390926,8.979006,8.935013,9.360111,8.134177,10.042348,8.098126,8.55142,"EFS_G5"
"130","PALPIN",8.945505,8.657542,7.972409,9.418033,8.051709,10.983944,9.370958,7.985493,8.437398,7.794914,9.682768,6.911435,9.242615,"EFS_G5"
"131","PALPSY",8.961386,9.032745,7.929772,9.486145,8.396198,10.820496,8.983364,8.20172,9.243101,7.723244,9.64678,6.729598,8.862752,"EFS_G5"
"132","PALSAE",8.593557,8.598394,7.648584,8.805818,8.218992,10.173177,8.327134,7.981209,8.64078,7.924337,9.403342,8.043356,8.083574,"EFS_L5"
"133","PALTYB",9.94867,8.647514,8.505963,9.563825,8.934135,11.303603,8.847912,9.50307,9.828545,7.948875,9.143133,8.26489,8.666026,"EFS_L5"
"134","PALUDH",9.176935,8.677995,8.432799,9.271478,8.865702,10.347038,8.835924,7.969617,9.012628,7.979841,9.281257,6.343583,8.645656,"EFS_G5"
"135","PALUYS",8.978933,8.656582,7.488252,9.024628,8.318592,10.795875,7.786274,7.911326,8.377554,7.84738,8.619118,6.384598,8.638743,"EFS_L5"
"136","PALVKK",9.578372,8.349909,6.982142,9.017724,8.154409,10.754766,8.873072,8.436541,9.18009,7.562126,9.191638,6.958604,8.948358,"EFS_L5"
"137","PALVUC",8.927325,8.640101,7.977708,9.379038,8.457048,11.09388,9.0712,7.622514,8.913201,7.898214,8.675864,6.740003,8.979036,"EFS_G5"
"138","PALVVH",9.471604,9.022759,8.5564,9.574686,8.626645,10.974577,9.098616,7.915,9.283824,7.858177,9.340315,8.101668,8.978782,"EFS_G5"
"139","PALWBT",9.155998,7.934313,7.249653,9.229954,8.811035,10.906927,8.237834,8.652803,8.998275,7.700959,7.928836,8.13903,8.299028,"EFS_G5"
"140","PALWSJ",9.777182,9.396461,8.548932,9.863261,9.032918,11.416734,9.294106,8.956965,9.71211,8.184573,9.00441,6.932936,8.471039,"EFS_G5"
"141","PALWVJ",9.305807,8.352922,7.086871,9.686158,8.496511,10.654644,9.034435,8.049245,8.459952,7.792016,8.608487,8.065531,8.981808,"EFS_L5"
"142","PALWXP",9.482078,9.3186,8.198311,9.388764,8.902302,11.094729,9.178566,8.429777,9.449273,7.842292,9.667938,8.749662,9.15745,"EFS_G5"
"143","PALXTB",9.723524,8.958509,8.393407,9.697524,8.529351,10.98537,9.426275,8.097472,9.146581,7.474159,9.407163,8.433248,9.194074,"EFS_G5"
"144","PALXTE",9.325954,9.285805,8.245632,9.176565,8.413171,10.677641,9.025889,7.724223,9.154371,7.854559,9.732764,6.915243,8.808472,"EFS_G5"
"145","PALXUM",9.720987,8.868483,8.63877,9.493631,8.372459,11.045323,8.750083,8.291045,9.152309,7.668461,9.605834,7.087557,9.023745,"EFS_L5"
"146","PALYEC",9.114335,8.505346,7.20661,8.770533,7.997419,10.57651,7.901386,7.46259,8.422072,7.441077,8.72845,6.53255,8.996636,"EFS_L5"
"147","PALYLZ",8.953089,8.733853,7.922027,9.409428,8.125122,10.793706,8.87178,7.818227,9.043285,8.004114,9.542822,6.757578,9.03622,"EFS_G5"
"148","PALYPW",9.474168,8.416307,7.145092,8.447173,8.005631,10.525723,8.8065,8.09752,9.014393,7.362321,9.535048,7.626955,8.82753,"EFS_L5"
"149","PALZRG",8.922586,8.741869,7.311073,8.348097,7.947159,10.053399,7.038328,7.859041,8.837464,8.260988,8.484206,7.609495,8.579122,"EFS_L5"
"150","PALZZV",8.433478,8.668565,6.524565,8.224723,8.460917,10.392153,7.832701,7.764908,8.702118,7.734012,7.413948,6.296497,8.543492,"EFS_L5"
"151","PAMACS",9.320582,8.458966,7.841211,9.131768,8.072858,10.845431,8.953275,8.145301,8.664108,7.548353,8.793022,6.613611,8.801887,"EFS_L5"
"152","PAMAFV",9.114306,8.761634,7.860412,9.45147,8.680216,11.016796,8.293621,8.080652,9.020902,7.962504,8.912082,6.549067,8.661891,"EFS_G5"
"153","PAMAJT",9.048512,8.664701,7.594406,8.977073,8.628385,10.842624,8.793787,7.604842,8.893925,7.97382,8.824888,8.019708,8.921084,"EFS_G5"
"154","PAMBDH",7.816075,8.474563,6.696257,8.418643,8.22549,10.184296,7.280635,7.591878,8.011328,7.942283,7.928707,6.132799,8.796134,"EFS_G5"
"155","PAMBMJ",9.460052,9.28409,7.415258,9.330728,8.155135,10.72334,8.638699,7.839787,9.19976,7.843883,9.326641,7.159801,9.047398,"EFS_L5"
"156","PAMBYG",8.319061,9.110312,7.299809,9.090938,8.013951,10.032901,8.186049,7.502906,8.219553,7.369912,7.78108,6.786,9.030276,"EFS_L5"
"157","PAMCXF",9.345862,8.305985,7.51859,8.462904,8.154549,10.482471,7.766096,8.095256,8.288766,7.633252,9.077702,6.351657,8.138926,"EFS_L5"
"158","PAMEHH",9.652596,8.724472,8.616247,9.222297,8.981514,11.161345,9.195029,9.274285,9.470897,7.64309,8.678627,8.292788,8.930491,"EFS_L5"
"159","PAMEZH",9.065357,8.546969,7.12756,9.249423,8.812972,10.825298,8.827085,8.094456,9.107994,7.677828,8.81886,7.547112,8.783587,"EFS_L5"
"160","PAMJED",8.831919,8.06298,7.375201,7.704608,8.320557,10.327391,7.563076,8.238807,8.041857,7.749205,7.354914,6.196377,8.910487,"EFS_L5"
"161","PAMLMY",8.414558,8.775901,7.839062,8.866717,8.651327,10.04087,8.984268,7.746162,8.805955,8.082553,8.657762,7.394173,8.450132,"EFS_G5"
"162","PAMLNB",9.685974,8.442099,8.279153,6.556396,7.412813,10.452846,7.356584,8.274404,9.198712,7.673226,8.734873,7.673462,9.136291,"EFS_G5"
"163","PAMMXF",8.725147,8.778221,7.559014,9.130598,8.401835,10.262171,8.271869,7.733515,8.750013,8.037715,8.711494,6.86869,9.301514,"EFS_L5"
"164","PAMMYR",9.421607,8.709839,6.545832,8.732517,7.840477,10.463921,8.566803,7.951702,8.816462,7.733591,8.242366,7.151004,8.583759,"EFS_L5"
"165","PAMNAL",9.435738,8.566626,8.415505,8.859442,8.643713,10.706261,8.117535,8.059738,9.22893,8.080683,9.139236,7.104631,9.252567,"EFS_G5"
