"","Row.names","AHRR","BRD9","C5orf38","CEP72","CLPTM1L","IRX2","IRX4","LPCAT1","LRRC14B","MRPL36","NDUFS6","PDCD6","PLEKHG4B","SLC12A7","SLC6A18","SLC6A19","SLC6A3","SLC9A3","TERT","TRIP13","EFS_fct"
"132","PALSAE",7.282311,7.248973,7.186793,7.445338,8.652433,7.255276,6.729464,7.80712,6.16932,6.976739,8.732122,7.859313,6.674658,7.016131,6.706439,6.500048,6.649305,7.061131,7.404194,7.339004,"EFS_L5"
"133","PALTYB",6.949024,6.781078,6.943103,6.359,8.785098,7.244785,6.743002,8.380409,5.498837,7.342153,8.844282,7.448002,5.699195,7.145067,6.388122,5.921012,6.991017,6.866637,7.056563,5.622292,"EFS_L5"
"134","PALUDH",7.307616,6.864835,7.094032,7.025339,8.861496,7.250586,7.001372,7.63285,6.017707,7.361363,9.085706,7.873943,6.100147,7.469303,6.866052,6.423419,9.0578,7.023423,7.145752,7.030135,"EFS_G5"
"135","PALUYS",6.996631,7.32513,6.838515,7.361755,8.371992,7.033194,6.818605,7.627118,5.62533,6.945244,8.350988,7.69269,6.197294,7.251038,6.472345,6.356747,6.600457,6.772137,7.491038,8.058003,"EFS_L5"
"136","PALVKK",7.074428,6.789874,6.808808,6.546784,8.24998,7.330294,6.764175,7.618919,5.439197,6.95933,8.421024,7.513944,5.888067,7.401398,6.473018,6.109096,6.620169,6.693361,6.866897,5.859186,"EFS_L5"
"137","PALVUC",7.279704,6.697559,6.907858,6.78463,7.797127,7.437681,6.854974,7.667784,5.994523,6.636163,7.896728,7.193342,6.441556,6.978572,6.642483,6.366705,6.851934,7.089971,7.039333,5.98566,"EFS_G5"
"138","PALVVH",6.874954,7.175964,6.506083,6.961664,8.057188,6.861922,6.378308,7.689691,5.285033,6.965624,8.439526,7.656594,5.687176,6.69401,6.137627,5.818361,6.320497,6.494913,6.687863,6.702151,"EFS_G5"
"139","PALWBT",7.24743,6.875047,7.123907,6.517812,8.473975,7.617906,7.104286,8.255662,5.962943,6.885247,8.683872,7.565496,5.960814,7.140639,6.501635,6.331695,6.816413,7.02842,7.174901,5.677356,"EFS_G5"
"140","PALWSJ",7.029543,6.794608,7.077777,7.073132,8.846342,7.327303,6.899771,7.802826,6.177207,7.470407,9.149802,7.747218,6.113486,7.071372,6.558821,6.371025,6.675853,7.084519,6.961497,7.555267,"EFS_G5"
"141","PALWVJ",7.141306,7.36389,6.927808,6.846726,8.952651,7.464311,6.863547,7.373154,5.472707,7.263811,8.566724,7.940827,5.776265,6.921553,6.462921,6.240521,6.487906,7.067413,7.131124,7.714893,"EFS_L5"
"142","PALWXP",6.707513,7.194756,6.604813,7.150987,8.486759,6.809584,6.282915,7.60585,5.622847,7.276061,9.01265,7.776201,5.689167,7.095553,6.277869,5.871078,6.371737,6.577799,6.60972,7.555523,"EFS_G5"
"143","PALXTB",6.946251,7.059222,6.684938,6.562022,8.21367,6.948614,6.336286,7.85552,5.38843,7.207014,8.780886,7.831939,5.691094,6.862968,6.276821,5.684243,6.298563,6.382104,6.618391,6.453689,"EFS_G5"
"144","PALXTE",6.786244,6.87069,6.86481,6.862599,8.140791,6.915781,6.239134,7.174541,5.543463,6.6278,8.4298,7.548234,6.546911,6.852844,6.493307,5.958547,6.310688,6.483102,6.70137,6.494355,"EFS_G5"
"145","PALXUM",6.813858,6.902037,6.506468,6.482854,8.33303,6.922613,6.22115,7.257514,5.69782,7.060079,8.853064,7.560822,5.929535,6.408922,6.315608,6.221247,6.407868,6.416136,6.598903,6.159196,"EFS_L5"
"146","PALYEC",7.168942,7.436426,7.014018,7.330195,8.252452,7.235562,6.439772,7.783766,5.616127,7.015757,8.792906,7.627455,7.353902,7.103793,6.550866,6.127524,6.680711,6.974249,7.096515,7.678063,"EFS_L5"
"147","PALYLZ",6.912241,7.178211,6.770037,6.808728,7.884425,7.222406,6.824569,7.339301,5.978727,7.059977,8.322552,7.494399,5.890862,6.919582,6.492773,6.052344,6.612289,6.825422,6.953428,6.51983,"EFS_G5"
"148","PALYPW",7.33739,6.770616,6.756692,6.728762,8.048856,7.112231,6.714961,7.68941,5.422613,7.384299,8.64669,7.615275,5.913087,7.272545,6.444769,6.236524,6.626459,7.358982,6.907429,5.35002,"EFS_L5"
"149","PALZRG",7.056749,7.455632,6.756568,7.478071,8.923513,7.211374,6.488453,7.81648,5.19289,7.67054,9.2077,7.789191,6.82809,7.270999,6.388426,5.924646,6.557491,6.466109,6.657085,8.206307,"EFS_L5"
"150","PALZZV",7.330651,7.067268,7.07705,7.476662,8.488006,7.412268,7.068636,7.44124,5.486733,7.216539,9.030804,7.525649,6.869046,7.260904,6.66596,6.224765,6.805162,6.908909,7.346068,7.636796,"EFS_L5"
"151","PAMACS",7.156251,7.457231,6.89368,6.708068,8.872264,7.149249,6.62209,7.326397,5.664497,7.055422,8.412744,7.987332,5.822189,6.547716,6.451457,6.352112,6.473344,6.804199,6.977934,7.595905,"EFS_L5"
"152","PAMAFV",7.032718,6.956494,6.885408,7.051052,8.277743,7.154819,6.485836,7.44043,5.857887,6.522976,8.505178,7.724326,5.898493,6.872369,6.397088,6.099518,6.559612,6.894837,6.822574,6.981213,"EFS_G5"
"153","PAMAJT",7.242502,6.650291,7.087353,6.915045,7.753005,7.178164,6.8582,7.522948,5.85753,6.929352,8.186764,7.406443,6.106994,6.892477,6.77042,6.275414,7.168572,6.913953,6.907989,6.229451,"EFS_G5"
"154","PAMBDH",7.290001,7.178968,7.0512,7.479474,8.21518,7.28297,6.720896,7.656364,5.678753,7.040292,8.344934,7.311512,6.182373,6.842981,6.786294,6.533144,6.892243,7.049724,7.06669,7.100321,"EFS_G5"
"155","PAMBMJ",6.856625,7.042634,6.506568,6.968788,8.536844,7.074764,6.19268,7.651216,5.841333,7.166876,8.881022,7.649784,5.408579,7.089697,6.199649,5.819778,6.174131,6.771938,6.943707,7.433019,"EFS_L5"
"156","PAMBYG",7.078803,7.151805,6.617403,7.119191,8.207681,7.091283,6.723265,7.317422,5.05635,7.25907,8.462906,7.572316,7.106061,6.789287,6.292311,5.983055,6.674776,6.776291,6.870354,7.056336,"EFS_L5"
"157","PAMCXF",7.124123,7.541375,6.80481,7.215694,8.918791,7.398573,6.654166,7.537315,5.732417,7.724593,9.183016,7.558988,6.795488,7.06255,6.650211,6.288084,6.655991,7.045732,7.008009,7.389328,"EFS_L5"
"158","PAMEHH",7.016658,6.702801,6.876188,6.500299,8.647013,7.052312,6.459647,7.904296,5.46604,7.044531,8.857028,7.986914,5.760338,6.99211,6.27002,6.174355,6.270238,6.836803,7.110776,5.706977,"EFS_L5"
"159","PAMEZH",7.239857,6.924705,6.960013,6.855124,8.556484,7.145677,6.955524,7.974051,5.944123,7.078577,8.341888,7.481953,6.018558,7.124443,6.58699,6.346193,6.766809,6.910926,7.092197,6.898563,"EFS_L5"
"160","PAMJED",7.102024,7.375394,7.032088,7.103172,8.472366,7.261056,6.961466,7.536852,5.433343,6.910954,8.545234,7.105686,7.157053,7.106689,6.619556,6.341587,6.781349,6.992202,7.120118,6.911173,"EFS_L5"
"161","PAMLMY",7.501656,6.919846,7.268095,7.403795,8.868868,7.642045,7.193516,7.792247,5.6634,7.483607,9.171454,7.504396,6.885543,7.048021,6.895035,6.535358,6.856388,7.20452,7.255566,7.490196,"EFS_G5"
"162","PAMLNB",6.97802,6.970142,6.592697,6.565992,8.718293,6.998491,6.480365,7.728871,4.95652,7.53479,9.089996,8.204354,5.765425,7.643622,6.062201,5.790592,6.267957,6.741769,6.474648,6.001587,"EFS_G5"
"163","PAMMXF",6.820736,7.629456,6.422883,7.357185,8.609669,6.801949,6.032033,8.024224,4.2599,7.356486,8.838986,7.897353,7.584176,6.771007,5.954852,5.561591,6.143442,6.561354,6.736916,7.623963,"EFS_L5"
"164","PAMMYR",6.975461,7.209384,6.833607,7.220144,8.596214,7.285194,6.504353,7.742756,5.489243,6.961451,8.773366,7.924437,5.887011,7.874768,6.355934,6.131172,6.399113,6.697865,6.660753,7.131764,"EFS_L5"
"165","PAMNAL",6.866792,7.414616,6.33595,7.108663,8.751822,6.85737,6.213051,7.891351,4.900577,7.128081,8.63039,7.623166,6.788803,7.283843,6.030544,5.720702,7.552298,6.562636,6.722361,7.205736,"EFS_G5"
"166","PAMNLH",7.336048,7.292616,7.059042,7.145701,8.869853,7.406536,7.129157,7.747845,5.738987,7.026762,8.247626,7.801986,6.242725,7.297578,6.813683,6.876519,6.934474,6.988962,7.023038,6.915102,"EFS_L5"
"167","PAMVCL",7.085443,6.912337,6.819507,6.81072,7.979314,7.177274,6.782455,7.445777,5.727493,6.99239,8.46382,7.580134,5.873124,6.856048,6.521649,6.204937,6.505178,6.86639,6.778913,6.690466,"EFS_G5"
"168","PAMXWF",6.954092,7.731137,6.612602,7.336822,8.352261,7.210919,6.73789,7.551507,5.49316,7.060183,8.741208,7.987977,5.791724,8.179246,6.46119,6.101564,6.452044,6.703167,8.534378,7.706093,"EFS_L5"
