"","Row.names","ABCF1","ASF1B","ASS1","CDCA7","CHAF1B","DDX21","DNMT1","DUT","EMB","FEN1","GRWD1","HELLS","HMGA1","HMGB2","IFI16","IFRD2","LY6H","MCM3","MCM5","MCM6","MSH6","NAP1L4","POLA2","POLD1","PRPS1","RAD51","RNASE2","RRM2","SERPINA3","SMC2","SNX5","VCAN","EFS_fct"
"96","PAJZWL",8.329868,7.108104,8.232028,7.383595,6.858828,6.958572,8.399471,7.33386,6.040815,7.985807,7.441319,7.238231,8.590244,9.116119,6.028499,6.719805,6.655587,8.404827,9.301361,8.241129,7.993531,8.279247,7.860139,7.728102,7.664183,6.55799,4.769497,8.628909,5.962982,7.087335,7.753381,7.875205,"EFS_L5"
"97","PAKACY",7.480815,6.180391,6.547244,7.089389,6.533741,7.702304,7.805534,7.678093,5.540625,7.559373,7.021993,8.158662,8.248844,9.755878,7.46679,6.960648,7.11246,7.872721,8.15982,8.687063,8.387895,8.518115,7.219028,7.073432,7.355276,6.476756,3.697146,7.755338,4.308979,7.251468,8.179247,9.215204,"EFS_L5"
"98","PAKADI",7.869363,6.190964,7.096716,5.443453,5.938531,7.001331,7.682517,7.104976,5.619086,6.999478,7.262881,6.423754,7.826511,7.982626,6.499325,6.913488,7.79211,6.804037,7.444429,7.159118,7.415773,8.179994,6.536663,6.847256,7.508884,5.179677,3.49474,6.147594,5.746622,6.943494,7.254624,9.005111,"EFS_L5"
"99","PAKAFK",8.063017,7.068084,7.316026,6.909062,6.739906,8.022467,7.610228,7.206018,5.603859,7.618429,7.613325,7.318211,8.073687,8.722564,6.361872,6.567927,6.459447,7.693875,8.518048,7.944672,7.948994,8.444752,7.886671,7.45195,7.847489,6.565708,3.741919,7.418596,4.700762,7.465915,7.168019,7.617994,"EFS_G5"
"100","PAKANZ",7.905868,7.71684,6.54284,6.92198,6.303917,7.702089,8.759324,7.09239,4.621659,8.419947,7.240932,9.052393,7.927199,10.081709,5.725045,6.922464,6.756467,8.41201,8.813906,8.659989,8.374422,8.988406,9.129777,7.860019,7.493232,6.832545,4.008834,9.031701,4.612555,7.801002,8.38252,9.035517,"EFS_L5"
"101","PAKDHL",8.226344,6.893944,6.536543,7.255535,6.086308,7.417544,8.174004,7.22659,4.875523,7.988632,7.083369,7.797793,8.329218,9.871751,5.891756,7.054041,6.226955,8.14561,8.859827,8.284446,8.037649,8.414398,8.170376,7.262704,6.885934,6.400796,3.842103,8.714192,4.626546,7.374358,7.375748,7.847967,"EFS_L5"
"102","PAKGCI",8.047649,6.528696,6.23675,6.014066,6.063603,7.656176,7.662123,7.604149,5.042053,7.146839,7.032932,6.973276,8.174634,8.610334,5.740842,6.806604,6.59777,7.709593,8.509306,7.491242,7.449551,8.398639,6.832073,7.298491,7.068885,6.164335,3.57792,7.227236,4.866918,6.792547,7.359259,6.934872,"EFS_G5"
"103","PAKGKH",8.573661,7.682567,6.900607,6.737516,7.379541,7.965456,8.525452,7.614328,5.8563,8.348813,7.776862,6.518989,9.137879,8.896835,5.801563,7.21434,7.976253,8.317191,8.44843,8.866379,8.292282,8.23324,7.260093,7.902872,8.142925,7.066266,4.312249,8.31487,5.021686,7.830225,7.361253,8.367264,"EFS_L5"
"104","PAKGMY",7.999845,7.392201,8.003425,7.240341,6.994583,7.60583,8.313984,7.509341,5.059109,8.318727,7.514341,7.440406,8.756512,8.641387,7.255841,7.485329,7.553688,8.549841,9.170276,8.903412,7.828893,8.143416,8.530723,8.069872,7.405971,7.130786,3.997171,8.055647,8.747,7.306997,7.55694,7.992451,"EFS_L5"
"105","PAKHAV",8.026189,8.078514,6.771065,6.790405,7.291646,7.804787,8.482946,7.36477,5.557658,8.099225,7.881585,6.215037,8.815841,8.246136,6.252741,7.217976,7.12919,8.123486,8.924799,8.816606,8.008312,7.740899,7.64292,7.877973,7.716976,6.922771,5.150621,8.41328,5.098645,7.331291,7.639215,7.546121,"EFS_L5"
"106","PAKINP",8.164431,6.381684,6.424782,6.299142,6.226153,7.716586,7.721914,7.123405,4.550694,6.884839,7.239755,6.882948,8.201718,8.136425,5.52653,6.71126,6.507228,7.595098,7.41825,7.244778,7.583754,8.234652,6.517801,7.273407,7.136793,5.787417,3.448504,6.504604,4.635728,7.159359,7.561137,6.77656,"EFS_G5"
"107","PAKJBA",8.586722,8.593033,6.741635,8.825452,7.888162,8.626358,9.016041,8.330757,4.476851,8.388261,7.955104,8.258104,8.905551,10.723049,5.518491,7.096765,6.533838,9.094668,9.531445,9.975563,9.081019,8.268116,8.260801,8.008976,8.496447,8.108021,3.932636,9.385145,4.676911,8.421405,8.163555,6.999069,"EFS_G5"
"108","PAKSWB",8.038786,6.747107,6.027789,6.958864,6.175708,7.585823,7.783011,7.21178,5.240014,7.262794,7.187723,7.218965,8.331593,8.263916,5.711665,6.788339,6.270783,7.977996,8.033965,8.121176,8.122374,8.411805,7.177474,7.245362,7.609912,6.138984,3.7746,7.785299,4.897633,7.356147,7.43308,6.712244,"EFS_G5"
"109","PAKUXT",8.120799,7.572841,6.512593,7.37871,7.036591,7.889418,8.399628,7.662067,5.873386,8.247975,7.22856,7.711094,8.575431,9.570359,6.582532,6.835099,7.383433,8.278631,8.849175,8.518776,8.049402,8.311589,8.15519,7.745312,8.021277,7.180756,4.802033,9.130237,5.148686,7.531375,7.772614,6.973757,"EFS_L5"
"110","PAKWCJ",7.82817,6.782911,6.574595,6.209582,6.130408,7.62552,7.594552,7.105678,5.872774,7.423462,7.019655,6.828174,8.224289,7.536059,6.116054,6.937694,6.787768,7.538175,7.9486,7.49393,7.543504,8.190722,6.928141,7.215847,7.102751,5.951084,3.833009,7.0706,5.34843,6.856686,6.936399,6.761134,"EFS_G5"
"111","PAKXDZ",8.177741,7.414123,6.81795,7.389439,6.705382,8.649532,8.589549,7.910582,5.642792,8.494466,7.895036,7.880324,9.052083,9.957402,6.147847,7.081158,7.511525,8.365079,8.71586,8.418268,8.227052,8.619602,8.015312,8.053307,7.98285,6.966301,3.99603,8.494593,5.21419,7.265878,8.147348,8.870664,"EFS_L5"
"112","PAKYZS",7.843284,6.211461,7.264375,5.29727,6.047693,7.439296,7.309585,6.573484,4.888166,7.121716,7.34101,5.814805,8.067788,6.548203,6.098035,6.913274,6.829005,6.789293,7.258338,6.864465,6.862187,8.012899,6.075618,7.334509,7.701958,5.071135,4.229317,5.691488,5.834665,5.964505,6.811011,8.072977,"EFS_L5"
"113","PALAWZ",8.558166,6.96355,7.446148,6.354796,6.297376,9.854356,8.093296,7.049743,6.138529,8.132679,7.957641,6.406788,8.868693,8.055077,6.668232,7.017787,6.736177,7.150353,8.073487,7.64243,7.687461,8.67448,6.756127,7.404916,7.946103,6.018283,4.180543,7.345749,7.053724,6.680188,7.429242,9.225224,"EFS_L5"
"114","PALBFV",8.41504,7.8089,7.861229,8.273994,8.094677,9.02116,9.010617,8.265999,6.401757,9.012022,7.74262,8.98488,8.968581,9.740441,5.09927,7.217379,6.737005,9.386185,9.831578,9.852642,9.304922,9.041795,8.740743,8.222416,8.431326,8.341769,3.8965,11.360817,4.510878,8.407861,8.353841,7.791551,"EFS_L5"
"115","PALBFW",8.001728,6.100629,7.277406,5.387289,6.364144,8.008472,7.706106,7.040955,5.465261,7.113301,7.182569,6.541645,8.104113,8.23363,6.699645,6.730466,7.34112,7.137321,7.665164,7.05966,7.633654,8.472752,7.01843,7.186269,7.623004,5.082731,3.57577,6.256122,4.847925,6.733129,7.483684,7.973763,"EFS_L5"
"116","PALEAC",7.740909,6.827752,6.586415,6.911339,6.291269,7.267011,7.852237,6.804015,5.021564,7.162115,7.03045,7.286021,8.123032,8.240551,5.99333,6.847745,6.287342,7.274978,7.897533,8.289036,7.957064,8.180042,7.036963,7.129274,7.484826,6.179129,3.578839,7.600844,4.51365,6.989575,7.787656,8.240106,"EFS_G5"
"117","PALEBK",8.075088,6.834619,6.131206,7.051516,6.542945,7.590484,7.755811,7.415898,5.328129,7.433466,6.988736,7.490563,8.345772,8.673313,5.908625,6.815694,6.395107,8.067602,8.619317,8.269502,7.936274,8.210614,7.123605,7.320313,7.360562,6.700166,4.000404,7.581938,4.779911,7.582361,7.500454,6.845492,"EFS_G5"
"118","PALETP",8.112935,7.42841,7.17295,7.212647,6.448614,7.076238,8.228171,7.102677,6.677726,8.586152,7.510735,7.226926,8.282089,8.755229,6.98472,6.892739,7.174683,8.258202,8.77491,9.059061,8.211187,8.79794,8.296844,7.556465,7.611563,6.766549,4.367653,9.088911,4.972412,7.418506,7.640148,7.746131,"EFS_L5"
"119","PALFRE",7.924999,7.157753,6.845227,5.751565,5.985521,7.688755,8.216048,7.259559,7.23884,7.353975,7.650347,5.553825,8.53158,8.174041,7.506619,7.159079,8.036488,7.596711,8.406536,7.062627,7.181666,8.249293,6.868621,7.565504,7.079447,5.392289,3.650364,6.823443,5.317928,6.711882,7.752196,6.081825,"EFS_L5"
"120","PALFSE",8.12445,6.367623,8.310158,5.36747,6.321414,8.1824,8.010714,7.616716,7.10834,7.278479,7.446921,6.335602,8.237381,8.37959,7.831382,6.926418,6.560768,7.530771,7.97007,8.031885,7.916162,8.414576,6.96478,7.1643,7.994019,4.975448,3.922259,6.176039,5.127337,7.46284,8.30738,8.055547,"EFS_G5"
"121","PALGFF",8.014463,6.64989,6.754702,6.344656,6.225924,7.757022,7.82999,7.297681,6.137093,7.340816,7.081011,6.776955,8.122127,7.858169,5.84179,6.769755,6.92531,7.342889,7.581935,7.698302,7.733114,7.86177,6.879223,7.324631,6.829964,5.531605,3.844061,7.119579,4.970789,6.846288,7.480036,6.905385,"EFS_L5"
"122","PALHVD",8.31866,7.279403,6.376862,7.347316,6.744065,7.54543,8.324263,7.254542,5.025734,8.768451,7.47451,7.658757,8.407541,9.30117,5.354509,7.057587,7.418417,8.211576,8.969595,8.608358,8.134557,9.039563,8.441786,7.641927,7.179449,7.040844,3.780061,8.870587,4.770666,7.390109,7.451498,8.126367,"EFS_L5"
"123","PALIIN",8.43963,7.456047,6.152472,7.609133,6.6987,7.941238,8.626712,7.467898,6.028923,8.090311,7.125095,8.251284,8.233796,9.773149,7.051762,6.620499,5.930567,8.603188,8.905182,8.844709,8.240777,8.581055,7.885038,7.216808,7.521388,7.190492,3.919747,8.165466,4.866511,8.231656,7.965214,6.402475,"EFS_L5"
"124","PALKKV",8.027329,6.380296,6.784525,5.495675,6.454547,7.789074,8.06512,7.313557,5.903165,7.013885,7.17784,6.81074,8.166909,7.99275,6.79456,6.812856,6.608693,7.169473,7.777593,6.714435,7.296381,8.546487,6.806088,7.202077,6.906105,5.152476,4.025834,6.178622,5.037765,7.405633,7.261084,7.032288,"EFS_G5"
